               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11795,            0.029532,                   0,           0.0033333,             0.10345,           0.0072864,           0.0013017,             0.10695,             0.01573,                   0,               0.091,               0.001,               0.001
                   1,              0.1059,            0.034133,                   0,             0.13348,            0.068966,            0.033103,           0.0068121,             0.08743,            0.016308,                   0,            0.080407,            0.001407,            0.001407
                   2,            0.097386,            0.035481,                   0,             0.15602,            0.086207,            0.027863,           0.0099161,             0.08278,            0.016227,                   0,            0.069088,            0.001088,            0.001088
