               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.084013,            0.040862,                   0,             0.01347,            0.051724,           0.0052083,          0.00099076,            0.080176,            0.015671,                   0,           0.0041573,           0.0041573,            0.062457
                  38,            0.082167,            0.041106,                   0,           0.0087792,            0.051724,           0.0039316,          0.00088894,            0.079879,            0.015709,                   0,           0.0042663,           0.0042663,            0.061466
                  39,             0.08158,             0.04457,                   0,            0.024823,            0.051724,           0.0062848,           0.0012271,            0.081897,            0.015582,                   0,           0.0043752,           0.0043752,            0.060475
                  40,              0.0811,            0.041161,                   0,            0.023666,            0.051724,           0.0073805,           0.0012073,            0.077184,            0.016108,                   0,            0.004484,            0.004484,            0.059484
                  41,            0.084143,            0.042259,                   0,           0.0080787,                 0.5,           0.0055497,           0.0010123,            0.083525,            0.016107,                   0,           0.0045928,           0.0045928,            0.058493
                  42,            0.079276,            0.038002,                   0,           0.0096316,             0.22414,           0.0060044,            0.001198,            0.081629,            0.016102,                   0,           0.0047015,           0.0047015,            0.057502
                  43,            0.080293,             0.03893,                   0,            0.010524,            0.068966,           0.0050676,          0.00079593,             0.08906,            0.016419,                   0,           0.0048102,           0.0048102,             0.05651
                  44,            0.083098,            0.042947,                   0,             0.00582,             0.36207,           0.0039682,          0.00086503,            0.085228,            0.018013,                   0,           0.0049188,           0.0049188,            0.055519
                  45,            0.080798,            0.039093,                   0,           0.0050647,             0.34483,           0.0035161,          0.00080167,            0.087377,             0.01971,                   0,           0.0050273,           0.0050273,            0.054527
                  46,            0.080262,            0.044712,                   0,            0.019178,             0.13793,            0.010335,           0.0018725,            0.072515,            0.016383,                   0,           0.0051358,           0.0051358,            0.053536
                  47,            0.076834,            0.039522,                   0,           0.0095233,             0.39655,           0.0066574,           0.0015263,            0.074545,            0.017867,                   0,           0.0052442,           0.0052442,            0.052544
                  48,              0.0792,            0.039097,                   0,            0.012858,             0.24138,           0.0086042,           0.0015778,            0.070764,            0.017513,                   0,           0.0053525,           0.0053525,            0.051553
                  49,             0.08194,            0.042432,                   0,             0.02366,            0.086207,           0.0080029,           0.0015533,            0.080226,             0.01847,                   0,           0.0054608,           0.0054608,            0.050561
                  50,            0.081528,            0.044052,                   0,            0.014151,             0.17241,           0.0067128,            0.001459,            0.082882,            0.019971,                   0,            0.005569,            0.005569,            0.049569
                  51,            0.076463,            0.041088,                   0,            0.060828,             0.10345,            0.013311,           0.0022228,            0.085021,            0.021391,                   0,           0.0056771,           0.0056771,            0.048577
                  52,            0.075805,            0.035839,                   0,             0.11643,             0.10345,            0.028875,           0.0064892,            0.082542,            0.015973,                   0,           0.0057851,           0.0057851,            0.047585
                  53,            0.078542,            0.035641,                   0,              0.1212,             0.13557,            0.052703,            0.012755,            0.079276,            0.017556,                   0,           0.0058931,           0.0058931,            0.046593
                  54,            0.076801,            0.043484,                   0,            0.054263,              0.2069,            0.024334,           0.0055831,            0.078703,            0.021902,                   0,            0.006001,            0.006001,            0.045601
                  55,            0.076391,            0.038027,                   0,            0.042368,              0.2069,            0.022421,           0.0040894,            0.081197,             0.02224,                   0,           0.0061088,           0.0061088,            0.044609
                  56,            0.075158,            0.036706,                   0,             0.23682,             0.22414,             0.13042,            0.025951,            0.071874,            0.017359,                   0,           0.0062165,           0.0062165,            0.043617
                  57,            0.078641,            0.040258,                   0,             0.14095,             0.22414,            0.078839,            0.017085,            0.080462,            0.022565,                   0,           0.0063242,           0.0063242,            0.042624
                  58,             0.07706,            0.041906,                   0,             0.13684,             0.18966,            0.057813,            0.012957,            0.071211,            0.023277,                   0,           0.0064317,           0.0064317,            0.041632
                  59,            0.076018,            0.037075,                   0,             0.18341,             0.27586,             0.14938,            0.035315,            0.065725,            0.017591,                   0,           0.0065392,           0.0065392,            0.040639
                  60,            0.077269,             0.03609,                   0,             0.21184,             0.24138,             0.11266,            0.025828,            0.073673,            0.017817,                   0,           0.0066466,           0.0066466,            0.039647
                  61,            0.077428,            0.037466,                   0,             0.17194,             0.25862,             0.11067,            0.025234,            0.063545,            0.021566,                   0,           0.0067539,           0.0067539,            0.038654
                  62,            0.076254,            0.039856,                   0,             0.19002,            0.068966,            0.048262,            0.011945,            0.069514,            0.034405,                   0,           0.0068611,           0.0068611,            0.037661
                  63,            0.072422,            0.036802,                   0,             0.13385,             0.27586,            0.079645,            0.016159,             0.06367,            0.022026,                   0,           0.0069682,           0.0069682,            0.036668
                  64,            0.072803,            0.038946,                   0,            0.094223,              0.2931,             0.06158,            0.011674,            0.079426,            0.017545,                   0,           0.0070753,           0.0070753,            0.035675
                  65,            0.074456,            0.035065,                   0,             0.17599,             0.24138,            0.077652,            0.022429,            0.072203,            0.020044,                   0,           0.0071822,           0.0071822,            0.034682
                  66,            0.077231,            0.039293,                   0,            0.040141,            0.051724,            0.011945,           0.0023257,            0.096599,            0.027965,                   0,           0.0072891,           0.0072891,            0.033689
                  67,            0.074859,            0.037432,                   0,           0.0031341,            0.068966,          0.00089924,           0.0001621,            0.099108,            0.052707,                   0,           0.0073958,           0.0073958,            0.032696
                  68,            0.071282,            0.040732,                   0,            0.058673,            0.017241,           0.0012463,          0.00027804,              0.1039,             0.25779,                   0,           0.0075025,           0.0075025,            0.031702
                  69,            0.074998,            0.037682,                   0,            0.017435,            0.017241,          0.00082378,          0.00016236,             0.12166,             0.13601,                   0,            0.007609,            0.007609,            0.030709
                  70,            0.074733,            0.038316,                   0,            0.050934,             0.22414,            0.023768,           0.0048506,            0.081684,            0.022897,                   0,           0.0077155,           0.0077155,            0.029715
                  71,            0.068186,            0.037349,                   0,              0.1324,             0.22414,            0.071835,            0.017203,            0.079709,            0.016902,                   0,           0.0078218,           0.0078218,            0.028722
                  72,            0.069259,             0.03689,                   0,             0.16964,             0.25862,             0.10547,            0.028267,            0.073987,            0.015431,                   0,           0.0079281,           0.0079281,            0.027728
                  73,            0.069815,             0.03714,                   0,            0.094992,             0.24138,            0.069402,            0.015816,            0.070295,            0.022823,                   0,           0.0080342,           0.0080342,            0.026734
                  74,            0.071083,            0.037728,                   0,             0.13855,             0.18966,            0.081569,            0.017561,             0.06465,            0.028657,                   0,           0.0081402,           0.0081402,             0.02574
                  75,            0.067494,            0.034852,                   0,             0.24749,             0.27586,             0.15844,            0.038391,            0.061575,            0.021204,                   0,           0.0082462,           0.0082462,            0.024746
                  76,            0.074888,            0.044065,                   0,            0.086418,             0.18966,            0.062956,             0.01838,            0.062468,            0.028745,                   0,            0.008352,            0.008352,            0.023752
                  77,            0.075393,            0.039513,                   0,             0.15966,             0.37931,             0.10967,            0.025338,            0.057967,            0.018616,                   0,           0.0084577,           0.0084577,            0.022758
                  78,            0.069719,            0.037105,                   0,             0.12932,             0.36207,            0.087929,            0.015936,            0.063666,            0.020306,                   0,           0.0085633,           0.0085633,            0.021763
                  79,            0.071242,            0.030837,                   0,             0.45575,             0.37931,             0.30732,            0.080912,             0.05831,            0.015634,                   0,           0.0086688,           0.0086688,            0.020769
                  80,              0.0682,            0.038364,                   0,             0.37474,               0.465,             0.25721,            0.064463,            0.059221,             0.01566,                   0,           0.0087742,           0.0087742,            0.019774
                  81,            0.071744,             0.04062,                   0,             0.11408,             0.29306,            0.091369,            0.018862,            0.067263,            0.026856,                   0,           0.0088794,           0.0088794,            0.018779
                  82,            0.068235,            0.033939,                   0,             0.16549,             0.31034,             0.10466,            0.027002,             0.07006,            0.019574,                   0,           0.0089846,           0.0089846,            0.017785
                  83,            0.069144,            0.035071,                   0,            0.064737,             0.12069,            0.017788,           0.0025323,            0.093107,             0.02756,                   0,           0.0090896,           0.0090896,             0.01679
                  84,            0.070031,            0.032485,                   0,             0.14879,             0.41379,             0.13113,            0.032306,            0.058795,             0.01851,                   0,           0.0091945,           0.0091945,            0.015794
                  85,             0.06712,            0.037073,                   0,             0.46838,             0.27586,             0.22758,            0.058849,            0.057879,             0.01552,                   0,           0.0092993,           0.0092993,            0.014799
                  86,            0.066731,            0.034263,                   0,             0.37711,             0.32365,             0.23594,            0.070198,            0.058016,             0.01529,                   0,           0.0094039,           0.0094039,            0.013804
                  87,             0.06619,            0.039938,                   0,              0.1942,             0.58621,             0.17609,            0.040224,            0.057636,            0.016558,                   0,           0.0095085,           0.0095085,            0.012808
                  88,            0.065697,            0.037508,                   0,             0.23073,             0.25856,             0.13897,            0.025166,            0.069723,            0.018563,                   0,           0.0096129,           0.0096129,            0.011813
                  89,            0.069978,            0.038687,                   0,              0.2649,             0.43103,             0.17889,            0.051836,            0.064842,             0.01705,                   0,           0.0097172,           0.0097172,            0.010817
                  90,            0.068272,            0.035547,                   0,             0.28559,             0.41354,             0.18643,            0.043851,            0.060681,            0.016109,                   0,           0.0098213,           0.0098213,           0.0098213
                  91,            0.069542,            0.032919,                   0,              0.1968,              0.2408,             0.10391,             0.04088,            0.071505,             0.02424,                   0,           0.0098213,           0.0098213,           0.0098213
                  92,             0.06218,            0.032428,                   0,             0.33633,             0.31034,             0.20247,            0.069452,            0.068664,            0.020162,                   0,           0.0098174,           0.0098174,           0.0098174
                  93,             0.06425,            0.035227,                   0,             0.26467,             0.43103,             0.23892,            0.073968,            0.058933,            0.019623,                   0,           0.0098133,           0.0098133,           0.0098133
                  94,            0.061263,            0.034364,                   0,             0.32666,             0.63572,             0.32369,             0.10327,            0.053253,             0.01619,                   0,           0.0098093,           0.0098093,           0.0098093
                  95,            0.062259,            0.039438,                   0,             0.30603,             0.46552,             0.27236,            0.075557,             0.05227,            0.019014,                   0,           0.0098052,           0.0098052,           0.0098052
                  96,            0.058879,            0.036581,                   0,             0.26127,             0.46552,             0.25139,            0.070764,            0.057404,            0.019376,                   0,           0.0098011,           0.0098011,           0.0098011
                  97,            0.059343,            0.031008,                   0,             0.40199,             0.46552,             0.35394,             0.11127,            0.054632,            0.017256,                   0,           0.0097969,           0.0097969,           0.0097969
                  98,            0.065361,            0.037987,                   0,             0.35794,             0.24138,             0.16193,            0.048852,            0.059427,            0.022683,                   0,           0.0097927,           0.0097927,           0.0097927
                  99,            0.062691,            0.035966,                   0,              0.2255,             0.36207,             0.17699,            0.054693,            0.067996,            0.019239,                   0,           0.0097884,           0.0097884,           0.0097884
                 100,             0.05824,            0.035654,                   0,             0.44359,             0.41379,             0.29192,             0.08976,            0.052067,            0.017189,                   0,           0.0097841,           0.0097841,           0.0097841
                 101,            0.060718,            0.038689,                   0,             0.27966,             0.48276,             0.27959,            0.080003,            0.056177,            0.018582,                   0,           0.0097798,           0.0097798,           0.0097798
                 102,            0.061551,            0.034261,                   0,             0.43527,             0.65517,               0.435,             0.12777,            0.050681,            0.013364,                   0,           0.0097754,           0.0097754,           0.0097754
                 103,            0.068772,            0.036549,                   0,             0.25728,             0.43103,             0.19756,            0.039841,            0.067845,            0.021109,                   0,           0.0097709,           0.0097709,           0.0097709
                 104,            0.061131,            0.038184,                   0,             0.49915,             0.31034,             0.30793,            0.078723,            0.063956,            0.015218,                   0,           0.0097665,           0.0097665,           0.0097665
                 105,            0.058412,            0.035819,                   0,             0.40847,             0.31034,             0.24922,            0.081824,            0.058096,            0.014948,                   0,           0.0097619,           0.0097619,           0.0097619
                 106,            0.055905,            0.033471,                   0,             0.32334,             0.56897,             0.35052,             0.10793,            0.055325,            0.013944,                   0,           0.0097574,           0.0097574,           0.0097574
                 107,            0.058626,            0.033383,                   0,             0.36968,             0.51572,             0.31502,            0.077497,            0.060287,            0.014302,                   0,           0.0097528,           0.0097528,           0.0097528
                 108,            0.058624,             0.03489,                   0,             0.37832,             0.48276,             0.34533,            0.096179,            0.055561,            0.015587,                   0,           0.0097481,           0.0097481,           0.0097481
                 109,            0.056836,            0.030418,                   0,             0.51864,             0.46443,             0.37661,             0.13686,            0.049399,            0.014534,                   0,           0.0097435,           0.0097435,           0.0097435
                 110,             0.05886,            0.034629,                   0,             0.34637,             0.43103,             0.28252,            0.097107,            0.052073,            0.016971,                   0,           0.0097387,           0.0097387,           0.0097387
                 111,            0.053904,            0.030451,                   0,             0.52237,               0.396,             0.35257,             0.12411,             0.05324,            0.016804,                   0,            0.009734,            0.009734,            0.009734
                 112,            0.057906,            0.033971,                   0,             0.58596,             0.46552,             0.47088,             0.19124,            0.047593,            0.016165,                   0,           0.0097292,           0.0097292,           0.0097292
                 113,            0.053944,            0.030528,                   0,             0.41771,             0.56895,             0.41872,             0.16874,            0.047571,            0.014732,                   0,           0.0097243,           0.0097243,           0.0097243
                 114,            0.060132,            0.035214,                   0,             0.41157,             0.61506,             0.36882,             0.12163,            0.052736,            0.013653,                   0,           0.0097194,           0.0097194,           0.0097194
                 115,            0.056182,            0.036931,                   0,             0.55796,             0.24138,             0.27117,            0.078538,            0.054402,            0.013481,                   0,           0.0097145,           0.0097145,           0.0097145
                 116,            0.054602,             0.03135,                   0,             0.39709,             0.60345,             0.40955,             0.11807,            0.049704,            0.013443,                   0,           0.0097095,           0.0097095,           0.0097095
                 117,             0.05633,            0.033621,                   0,             0.45966,                 0.5,             0.40155,             0.13157,             0.04782,            0.013831,                   0,           0.0097045,           0.0097045,           0.0097045
                 118,            0.058211,            0.035354,                   0,             0.50985,             0.41379,             0.36829,             0.13692,            0.047117,            0.015688,                   0,           0.0096994,           0.0096994,           0.0096994
                 119,            0.058166,            0.032541,                   0,             0.51087,             0.32759,              0.3502,             0.11864,             0.05496,            0.014085,                   0,           0.0096943,           0.0096943,           0.0096943
                 120,            0.058867,            0.036208,                   0,             0.39643,             0.39635,             0.29188,             0.10957,            0.052737,            0.016431,                   0,           0.0096892,           0.0096892,           0.0096892
                 121,            0.057157,            0.038451,                   0,             0.66985,             0.39655,             0.37629,             0.12998,            0.052653,            0.016171,                   0,            0.009684,            0.009684,            0.009684
                 122,            0.055129,            0.033497,                   0,             0.62101,             0.48276,             0.46058,             0.15066,            0.049005,            0.013821,                   0,           0.0096788,           0.0096788,           0.0096788
                 123,            0.059143,            0.035884,                   0,               0.648,             0.41379,             0.40417,             0.14642,            0.047758,            0.014918,                   0,           0.0096735,           0.0096735,           0.0096735
                 124,            0.051657,            0.032226,                   0,             0.49234,             0.60345,             0.43926,             0.16409,            0.044546,            0.015198,                   0,           0.0096682,           0.0096682,           0.0096682
                 125,            0.052208,             0.03233,                   0,             0.53828,             0.36181,             0.33375,             0.10402,            0.051891,            0.013852,                   0,           0.0096628,           0.0096628,           0.0096628
                 126,            0.054971,            0.034068,                   0,             0.52364,             0.55172,             0.35964,             0.11289,            0.052268,            0.012843,                   0,           0.0096575,           0.0096575,           0.0096575
                 127,            0.052022,            0.033057,                   0,             0.57622,             0.58608,             0.48534,             0.16219,             0.04401,             0.01407,                   0,            0.009652,            0.009652,            0.009652
                 128,            0.052153,            0.034803,                   0,             0.48422,             0.64752,             0.44931,             0.18126,            0.045665,            0.016999,                   0,           0.0096466,           0.0096466,           0.0096466
                 129,            0.051082,            0.032772,                   0,             0.56756,             0.55172,             0.51581,             0.19611,            0.046733,            0.014632,                   0,            0.009641,            0.009641,            0.009641
                 130,            0.052142,            0.033657,                   0,             0.44746,             0.51724,             0.38749,             0.17557,            0.052358,            0.014681,                   0,           0.0096355,           0.0096355,           0.0096355
                 131,            0.051235,            0.032345,                   0,             0.71794,             0.48274,             0.51437,             0.20073,            0.046216,            0.015729,                   0,           0.0096299,           0.0096299,           0.0096299
                 132,             0.05039,            0.033951,                   0,             0.50807,             0.53448,             0.44275,             0.19502,            0.044813,            0.014703,                   0,           0.0096243,           0.0096243,           0.0096243
                 133,            0.053148,            0.032572,                   0,             0.48843,             0.37863,             0.32478,              0.1103,            0.055288,            0.017883,                   0,           0.0096186,           0.0096186,           0.0096186
                 134,            0.054041,            0.034076,                   0,             0.56523,             0.51724,             0.43991,             0.15177,            0.051265,            0.016024,                   0,           0.0096129,           0.0096129,           0.0096129
                 135,            0.054828,            0.030871,                   0,             0.42537,             0.46552,             0.36828,             0.12926,            0.053191,            0.013969,                   0,           0.0096071,           0.0096071,           0.0096071
                 136,            0.051433,            0.032082,                   0,             0.63439,             0.56843,             0.53099,             0.21774,            0.056236,             0.01209,                   0,           0.0096013,           0.0096013,           0.0096013
                 137,            0.052328,            0.035454,                   0,              0.6359,             0.36207,             0.40865,             0.15902,            0.053123,            0.016017,                   0,           0.0095955,           0.0095955,           0.0095955
                 138,            0.052284,            0.031043,                   0,             0.62429,             0.42976,              0.4481,             0.16627,            0.052018,            0.014169,                   0,           0.0095896,           0.0095896,           0.0095896
                 139,            0.051299,            0.033519,                   0,             0.54001,             0.34483,             0.34648,             0.14661,            0.053588,            0.015502,                   0,           0.0095837,           0.0095837,           0.0095837
                 140,            0.048106,            0.029871,                   0,             0.52744,             0.51724,             0.49991,             0.20772,            0.043543,             0.01376,                   0,           0.0095777,           0.0095777,           0.0095777
                 141,            0.050983,            0.032161,                   0,             0.39947,             0.68966,             0.48527,             0.19578,            0.047796,            0.014182,                   0,           0.0095717,           0.0095717,           0.0095717
                 142,            0.051178,            0.030364,                   0,             0.58041,             0.62069,             0.52218,              0.2178,             0.05629,            0.011925,                   0,           0.0095657,           0.0095657,           0.0095657
                 143,            0.050444,             0.03188,                   0,              0.5467,             0.60345,             0.51853,             0.20565,            0.052924,            0.013767,                   0,           0.0095596,           0.0095596,           0.0095596
                 144,            0.050875,            0.033301,                   0,             0.59179,             0.60345,             0.49205,             0.19849,             0.04358,            0.013971,                   0,           0.0095535,           0.0095535,           0.0095535
                 145,            0.047371,            0.032387,                   0,             0.63914,             0.55172,             0.51782,             0.19044,            0.042913,            0.013571,                   0,           0.0095473,           0.0095473,           0.0095473
                 146,             0.05372,            0.032025,                   0,             0.62445,             0.60345,             0.56092,             0.21978,            0.046603,            0.013287,                   0,           0.0095411,           0.0095411,           0.0095411
                 147,            0.048358,            0.032596,                   0,             0.42685,             0.46552,             0.30824,             0.12385,            0.057276,            0.017672,                   0,           0.0095349,           0.0095349,           0.0095349
                 148,            0.048118,            0.031269,                   0,             0.65993,             0.60345,             0.60704,             0.26845,            0.044169,            0.013614,                   0,           0.0095286,           0.0095286,           0.0095286
                 149,            0.049404,            0.031475,                   0,             0.51924,             0.68901,             0.59037,             0.19921,             0.04719,            0.013551,                   0,           0.0095223,           0.0095223,           0.0095223
                 150,            0.051997,            0.030756,                   0,             0.74414,             0.65517,             0.64407,             0.26355,            0.042369,            0.013394,                   0,           0.0095159,           0.0095159,           0.0095159
                 151,             0.05017,            0.029883,                   0,             0.59611,             0.63619,             0.54117,             0.22204,            0.047134,            0.014244,                   0,           0.0095095,           0.0095095,           0.0095095
                 152,            0.046486,            0.029379,                   0,              0.6599,             0.53448,             0.53694,             0.22809,            0.044655,            0.014378,                   0,           0.0095031,           0.0095031,           0.0095031
                 153,             0.04554,             0.02996,                   0,             0.60687,             0.58554,             0.54584,             0.22409,            0.043358,            0.012852,                   0,           0.0094966,           0.0094966,           0.0094966
                 154,            0.047108,             0.02668,                   0,              0.6472,             0.60345,             0.54088,             0.22496,             0.04184,            0.012967,                   0,           0.0094901,           0.0094901,           0.0094901
                 155,            0.045943,            0.031133,                   0,             0.61111,             0.60345,             0.55057,             0.23111,            0.047853,            0.013317,                   0,           0.0094835,           0.0094835,           0.0094835
                 156,              0.0503,            0.028859,                   0,             0.57392,             0.60345,               0.456,             0.16552,            0.046347,            0.013223,                   0,           0.0094769,           0.0094769,           0.0094769
                 157,            0.047914,            0.031748,                   0,             0.52107,             0.62069,             0.48111,             0.18291,            0.043126,            0.013869,                   0,           0.0094703,           0.0094703,           0.0094703
                 158,            0.045431,            0.028761,                   0,             0.43037,             0.44828,             0.31671,             0.12498,            0.048475,            0.014996,                   0,           0.0094636,           0.0094636,           0.0094636
                 159,            0.047074,            0.029436,                   0,             0.52381,             0.53448,             0.38399,             0.13287,            0.048837,            0.014382,                   0,           0.0094569,           0.0094569,           0.0094569
                 160,            0.045085,            0.027998,                   0,             0.50745,             0.58617,             0.40052,             0.17313,            0.045836,            0.013301,                   0,           0.0094502,           0.0094502,           0.0094502
                 161,            0.044359,            0.031534,                   0,             0.53503,             0.51724,              0.4123,             0.15786,             0.04915,            0.012326,                   0,           0.0094434,           0.0094434,           0.0094434
                 162,            0.047129,            0.030583,                   0,             0.46706,             0.62069,             0.47284,             0.16322,             0.05196,            0.013991,                   0,           0.0094365,           0.0094365,           0.0094365
                 163,            0.045304,            0.029632,                   0,             0.58472,             0.53408,             0.44909,             0.16274,            0.048535,            0.014465,                   0,           0.0094297,           0.0094297,           0.0094297
                 164,            0.045565,            0.028744,                   0,             0.43937,                 0.5,             0.35471,             0.14732,            0.053571,            0.013778,                   0,           0.0094228,           0.0094228,           0.0094228
                 165,            0.045411,            0.028553,                   0,             0.71427,              0.5172,             0.52524,             0.20842,            0.043246,            0.013195,                   0,           0.0094158,           0.0094158,           0.0094158
                 166,            0.045427,            0.028413,                   0,             0.67356,             0.53448,             0.48696,             0.19138,             0.04264,            0.013255,                   0,           0.0094088,           0.0094088,           0.0094088
                 167,            0.049628,             0.02822,                   0,             0.74324,                 0.5,              0.5204,             0.22048,            0.041924,            0.013331,                   0,           0.0094018,           0.0094018,           0.0094018
